raw-pancreas-human-Baron.h5ad,raw-pancreas-mouse-Baron.h5ad
ARHGEF26,Arhgef26
CLUH,Cluh
C12orf43,2210016L21Rik
STARD7,Stard7
CFAP92,1810020O05Rik
SEC31B,Sec31b
FOXL2,Foxl2
PLEKHG5,Plekhg5
DISP3,Disp3
ILF3,Ilf3
FAIM2,Faim2
APLF,Aplf
RNASEH2B,Rnaseh2b
PEF1,Pef1
RGS17,Rgs17
DPH6,Dph6
KDM2A,Kdm2a
SLC27A4,Slc27a4
EXOC5,Exoc5
ALOX12,Alox12
NPL,Npl
MLKL,Mlkl
DLEU7,Dleu7
TRNAU1AP,Trnau1ap
FAM13B,Fam13b
MBD4,Mbd4
NGRN,Ngrn
CTNNAL1,Ctnnal1
WDR4,Wdr4
C8orf33,1110038F14Rik
MSX2,Msx2
CENPE,Cenpe
RP9,Rp9
LECT2,Lect2
PALD1,Pald1
TEFM,Tefm
EFCAB12,Efcab12
DLX5,Dlx5
NUP153,Nup153
OARD1,Oard1
NFASC,Nfasc
ABHD10,Abhd10
ZNF503,Zfp503
TMEM26,Tmem26
CHAC2,Chac2
ADAP2,Adap2
NR1I2,Nr1i2
KIAA0895,9530077C05Rik
TSN,Tsn
GPR75,Gpr75
CPE,Cpe
VCPKMT,Vcpkmt
ASB3,Asb3
CDC42EP5,Cdc42ep5
GAA,Gaa
PKD2L2,Pkd2l2
COQ6,Coq6
SCFD2,Scfd2
ZFP82,Zfp82
APOBEC2,Apobec2
SDHAF3,Sdhaf3
ROGDI,Rogdi
MRPS27,Mrps27
ENDOG,Endog
JCAD,Jcad
NIFK,Nifk
ZNF517,Zfp275
OTC,Otc
CASR,Casr
KIF1A,Kif1a
C19orf47,2310022A10Rik
URI1,Uri1
SPOUT1,Spout1
CREB1,Creb1
SELENOM,Selenom
RFC2,Rfc2
SLC31A2,Slc31a2
XRCC4,Xrcc4
WFDC2,Wfdc2
PDLIM4,Pdlim4
WHRN,Whrn
NEK8,Nek8
TMEM233,Tmem233
ERLEC1,Erlec1
PTGER2,Ptger2
HTR7,Htr7
MB,Mb
CPPED1,Cpped1
DRGX,Prrxl1
PTGDR,Ptgdr
GARS1,Gars
SLC26A5,Slc26a5
NMRK2,Nmrk2
SPINT3,Spint3
AC136352.4,Gm1123
OTUD6B,Otud6b
TMEM167A,Tmem167
PTPRQ,Ptprq
ADCY2,Adcy2
ATCAY,Atcay
FAM214B,Fam214b
SYBU,Sybu
MRTO4,Mrto4
AQP2,Aqp2
C1QTNF7,C1qtnf7
APOL6,Apol6
LAT2,Lat2
C14orf28,Gm527
PTGS2,Ptgs2
ENOPH1,Enoph1
VCAN,Vcan
HCRTR1,Hcrtr1
AQP5,Aqp5
PIP4P2,Pip4p2
IL18RAP,Il18rap
TTC6,Ttc6
CDC123,Cdc123
TIMM8B,Timm8b
PIH1D2,Pih1d2
FAM161B,Fam161b
SNCA,Snca
IER3,Ier3
IARS1,Iars
ARMC2,Armc2
TSPO2,Tspo2
IZUMO4,Izumo4
PIK3CB,Pik3cb
UPF3B,Upf3b
SSTR1,Sstr1
ACSM4,Acsm4
SETD7,Setd7
CLVS2,Clvs2
DUSP2,Dusp2
CCDC60,Ccdc60
AMACR,Amacr
DERL3,Derl3
VGLL2,Vgll2
NKAPD1,Nkapd1
ZNF260,Zfp260
NECAB1,Necab1
CLEC14A,Clec14a
THTPA,Thtpa
ARC,Arc
NEUROD4,Neurod4
AP1G2,Ap1g2
PFDN6,Pfdn6
CLRN2,Clrn2
WFS1,Wfs1
DPP6,Dpp6
KIF18A,Kif18a
SEC61A2,Sec61a2
ZBTB45,Zbtb45
SLC9A4,Slc9a4
ZSWIM8,Zswim8
CHURC1,Churc1
TRIM69,Trim69
SCGB2A1,Scgb2a2
CDC73,Cdc73
SLC45A2,Slc45a2
CDKL3,Cdkl3
TMEM131,Tmem131
EFCAB10,Efcab10
SNAP25,Snap25
TRIM28,Trim28
RTTN,Rttn
PAICS,Paics
FTO,Fto
FA2H,Fa2h
EHD3,Ehd3
AQP6,Aqp6
RAB19,Rab19
NODAL,Nodal
RACK1,Rack1
B2M,B2m
GSC,Gsc
KMT5A,Kmt5a
SAP30L,Sap30l
PATL2,Patl2
KIRREL3,Kirrel3
BDH2,Bdh2
CCDC113,Ccdc113
DHX36,Dhx36
CLN8,Cln8
RPP30,Rpp30
ITFG2,Itfg2
MAST2,Mast2
GCH1,Gch1
B3GALT2,B3galt2
C14orf180,A530016L24Rik
TRIM41,Trim41
ZNF382,Zfp382
DYDC2,Dydc2
EIF4EBP2,Eif4ebp2
METTL15,Mettl15
CEP70,Cep70
SYT12,Syt12
NUDT5,Nudt5
KLHL28,Klhl28
RAB15,Rab15
TESPA1,Tespa1
ANKRD1,Ankrd1
CD300E,Cd300e
DYDC1,Dydc1
PCDH1,Pcdh1
NTRK3,Ntrk3
DRD1,Drd1
JRK,Jrk
HAND1,Hand1
TRIP6,Trip6
RHOD,Rhod
PSCA,Psca
PPAT,Ppat
ASTL,Astl
ST3GAL1,St3gal1
AMFR,Amfr
ACP6,Acp6
TRAPPC12,Trappc12
SEC16A,Sec16a
MMRN1,Mmrn1
RGS8,Rgs8
LRRC20,Lrrc20
C10orf71,3425401B19Rik
MKRN1,Mkrn1
KCNK2,Kcnk2
LMF1,Lmf1
TAC1,Tac1
ALS2,Als2
MC4R,Mc4r
TFE3,Tfe3
KCNE4,Kcne4
EFCC1,Efcc1
GPX2,Gpx2
LAP3,Lap3
SOS2,Sos2
MSMO1,Msmo1
GCC2,Gcc2
BAK1,Bak1
IKBIP,Ikbip
NKAP,Nkap
FAM71F1,Fam71f1
SLC16A9,Slc16a9
CALR3,Calr3
SLC47A1,Slc47a1
NCR1,Ncr1
LITAF,Litaf
ZFHX2,Zfhx2
TEX52,Tex52
AKAP14,Akap14
PIK3R5,Pik3r5
TMEM150C,Tmem150c
PFN4,Pfn4
POLR1F,Twistnb
SNN,Snn
KRT36,Krt36
ZFP92,Zfp92
FOXM1,Foxm1
TXNDC11,Txndc11
CHEK1,Chek1
SAG,Sag
ESYT3,Esyt3
PEX10,Pex10
GP6,Gp6
CDKAL1,Cdkal1
PRMT6,Prmt6
ERG,Erg
GUCY2D,Gucy2e
UBR4,Ubr4
UNC5CL,Unc5cl
SFXN1,Sfxn1
GPSM3,Gpsm3
MTMR10,Mtmr10
ARHGEF9,Arhgef9
GPR149,Gpr149
NDUFV1,Ndufv1
CHTF18,Chtf18
DNALI1,Dnali1
PBX2,Pbx2
PLCB3,Plcb3
NRP2,Nrp2
PRSS54,Prss54
RHOH,Rhoh
MPP4,Mpp4
CLEC1A,Clec1a
CDIN1,BC052040
TMEM64,Tmem64
GNL2,Gnl2
TNRC6C,Tnrc6c
TREX2,Trex2
MRAS,Mras
TRIM9,Trim9
UBIAD1,Ubiad1
DYNLRB1,Dynlrb1
TGFBI,Tgfbi
PHAX,Phax
UBFD1,Ubfd1
PPEF2,Ppef2
GP9,Gp9
DIP2C,Dip2c
LRP2,Lrp2
ZNF146,Zfp146
CHERP,Cherp
SHISA9,Shisa9
USE1,Use1
PTPRD,Ptprd
EARS2,Ears2
MED16,Med16
PSMD2,Psmd2
PAPPA,Pappa
CPOX,Cpox
ALDH7A1,Aldh7a1
SLURP1,Slurp1
HPDL,Hpdl
LRFN2,Lrfn2
THEM6,Them6
TNPO2,Tnpo2
IRX4,Irx4
ASNS,Asns
GPR15,Gpr15
NME9,Nme9
EBF4,Ebf4
MAP1LC3A,Map1lc3a
RER1,Rer1
ARMC8,Armc8
B3GALNT2,B3galnt2
PRRC2A,Prrc2a
SLC4A10,Slc4a10
GNG13,Gng13
HAUS7,Haus7
ABAT,Abat
TEDC2,Tedc2
AL034430.1,AL731706.1
SLX4IP,Slx4ip
KRT15,Krt15
USP15,Usp15
ARG1,Arg1
SLC12A9,Slc12a9
RABEP1,Rabep1
C19orf44,1700030K09Rik
ATP8B1,Atp8b1
RDH13,Rdh13
POLR1G,Cd3eap
USP13,Usp13
DELE1,Dele1
SLC39A10,Slc39a10
ERCC1,Ercc1
MGST2,Mgst2
C1GALT1,C1galt1
AL034430.2,AL731706.2
MKKS,Mkks
FBXW9,Fbxw9
RACGAP1,Racgap1
CDCP2,Cdcp2
CA14,Car14
EPS8L1,Eps8l1
IGSF9,Igsf9
CCNE1,Ccne1
RSPH4A,Rsph4a
KRT19,Krt19
TRIM23,Trim23
CCSER1,Ccser1
ADD3,Add3
FERD3L,Ferd3l
TWIST1,Twist1
SNF8,Snf8
APH1A,Aph1a
EIPR1,Eipr1
TMEM176B,Tmem176b
C11orf86,2010003K11Rik
INCENP,Incenp
IFT57,Ift57
SNTG1,Sntg1
PDC,Pdc
PIP,Pip
TMEM237,Tmem237
PSMA8,Psma8
COX7A1,Cox7a1
SLC17A1,Slc17a1
NDUFA1,Ndufa1
STXBP5,Stxbp5
FOXI1,Foxi1
ADIPOR2,Adipor2
NPFFR1,Npffr1
PQBP1,Pqbp1
ERMP1,Ermp1
LARP1,Larp1
BCL9,Bcl9
SUPT7L,Supt7l
ALB,Alb
CHMP2A,Chmp2a
EMC1,Emc1
GPCPD1,Gpcpd1
THUMPD1,Thumpd1
CLEC7A,Clec7a
GINS3,Gins3
KLHL2,Klhl2
SLC4A1AP,Slc4a1ap
SCAF1,Scaf1
HPCAL4,Hpcal4
LGI1,Lgi1
ITGAL,Itgal
EMSY,Emsy
PHF3,Phf3
ELAVL1,Elavl1
CLDND1,Cldnd1
MID1IP1,Mid1ip1
CRHR1,Crhr1
CITED2,Cited2
SLC9A2,Slc9a2
SLC17A6,Slc17a6
CYRIA,Fam49a
HIF1AN,Hif1an
VNN1,Vnn1
MAT1A,Mat1a
DENND2A,Dennd2a
CHRNA9,Chrna9
ZFAND3,Zfand3
WDR46,Wdr46
TDRKH,Tdrkh
NAAA,Naaa
EZH1,Ezh1
NT5C1A,Nt5c1a
CLDN5,Cldn5
PEX5L,Pex5l
TMEM179,Tmem179
TAAR1,Taar1
HNRNPM,Hnrnpm
TAAR2,Taar2
MRPL46,Mrpl46
KRT78,Krt78
MAP1B,Map1b
CNRIP1,Cnrip1
C19orf12,1600014C10Rik
HRH2,Hrh2
TENT4A,Tent4a
MRPS11,Mrps11
FAXDC2,Gm12248
PLEK,Plek
ABHD14B,Abhd14b
MED28,Med28
CARS2,Cars2
SIPA1,Sipa1
ADRA2B,Adra2b
CALB1,Calb1
TMEM176A,Tmem176a
B3GALT4,B3galt4
MOCS1,Mocs1
NTN3,Ntn3
GPAT2,Gpat2
FUT7,Fut7
PLPP2,Plpp2
TCERG1,Tcerg1
SRD5A1,Srd5a1
TLCD1,Tlcd1
COL28A1,Col28a1
IFNAR2,Ifnar2
PPA1,Ppa1
TMEM192,Tmem192
MRPL9,Mrpl9
NSUN2,Nsun2
ATPAF2,Atpaf2
NUP88,Nup88
PAX5,Pax5
SCG2,Scg2
C4orf48,Gm1673
ABHD14A,Abhd14a
TAAR5,Taar5
ERLIN2,Erlin2
OAZ3,Oaz3
SF3B6,Sf3b6
MAG,Mag
GID4,Gid4
NEDD4L,Nedd4l
PTPRN2,Ptprn2
RAB37,Rab37
NAXD,Naxd
PIGU,Pigu
LRMDA,Lrmda
PLXNA1,Plxna1
DECR1,Decr1
PAX2,Pax2
OGG1,Ogg1
SPPL3,Sppl3
DHTKD1,Dhtkd1
DBR1,Dbr1
TRIM7,Trim7
MORN1,Morn1
PYGM,Pygm
DICER1,Dicer1
CARD14,Card14
KRR1,Krr1
KCTD15,Kctd15
LYPD2,Lypd2
CAMK1,Camk1
POLI,Poli
RORB,Rorb
KRT8,Krt8
SNIP1,Snip1
MARCHF2,Marchf2
INF2,Inf2
CNOT8,Cnot8
KRT18,Krt18
SPPL2C,Sppl2c
PGPEP1,Pgpep1
RGS16,Rgs16
APOBEC1,Apobec1
A4GNT,A4gnt
BGN,Bgn
EPB42,Epb42
SGSH,Sgsh
PTPN21,Ptpn21
CNTROB,Cntrob
GLIPR1,Glipr1
MIOS,Mios
ALOX15,Alox15
DZIP1L,Dzip1l
TBX3,Tbx3
PI4K2A,Pi4k2a
CPXM1,Cpxm1
ANKRD33B,Ankrd33b
KCNV1,Kcnv1
TAF1B,Taf1b
CPLX2,Cplx2
DGKQ,Dgkq
MFSD9,Mfsd9
TMEM220,Tmem220
ITPR3,Itpr3
IL17B,Il17b
FAM184B,Fam184b
CHD1L,Chd1l
SF3B1,Sf3b1
C4orf19,0610040J01Rik
LYNX1,Lynx1
HEYL,Heyl
SEC23A,Sec23a
POPDC2,Popdc2
LRGUK,Lrguk
AFP,Afp
CD86,Cd86
PITRM1,Pitrm1
LY6D,Ly6d
PAPPA2,Pappa2
PPP2R5E,Ppp2r5e
WDR59,Wdr59
TTC4,Ttc4
RNASEL,Rnasel
NDUFAB1,Ndufab1
SZRD1,Szrd1
HFM1,Hfm1
SLC9B2,Slc9b2
CRYBB3,Crybb3
GEMIN5,Gemin5
CNTRL,Cntrl
PCYOX1L,Pcyox1l
PTP4A1,Ptp4a1
TP53INP2,Trp53inp2
PCBP4,Pcbp4
SESN3,Sesn3
TMEM245,Tmem245
PAX8,Pax8
PPP1R8,Ppp1r8
PCDH12,Pcdh12
FLOT1,Flot1
CFAP410,Cfap410
GIGYF2,Gigyf2
F12,F12
SLC35B4,Slc35b4
SLC9A3,Slc9a3
MME,Mme
SLC15A4,Slc15a4
WFDC8,Wfdc8
TIMM17B,Timm17b
WDHD1,Wdhd1
NPEPPS,Npepps
NDUFB2,Ndufb2
SMARCB1,Smarcb1
NAT8L,Nat8l
ALG11,Alg11
PAFAH1B1,Pafah1b1
AVPI1,Avpi1
FOXO3B,Foxo3
BRAF,Braf
SH2D2A,Sh2d2a
RELL1,Rell1
KRT9,Krt9
NUDT21,Nudt21
GAS2,Gas2
DAAM2,Daam2
FAHD2A,Fahd2a
GLT1D1,Glt1d1
TMC6,Tmc6
ADPRM,Adprm
IDUA,Idua
GDF3,Gdf3
CENPK,Cenpk
MAML3,Maml3
FAM229B,Fam229b
MARVELD1,Marveld1
LSM4,Lsm4
POC5,Poc5
TRPM7,Trpm7
CEP44,Cep44
TRIM22,Trim75
VPS52,Vps52
TNFRSF25,Tnfrsf25
SPHKAP,Sphkap
FANCF,Fancf
TAGLN2,Tagln2
MRPL36,Mrpl36
MYT1L,Myt1l
RNF41,Rnf41
TMEM182,Tmem182
POLD1,Pold1
WSCD1,Wscd1
KRT14,Krt14
NDUFS6,Ndufs6
PFKP,Pfkp
PTCD3,Ptcd3
CLDN18,Cldn18
WFDC9,Wfdc9
PPWD1,Ppwd1
E2F3,E2f3
ZSWIM5,Zswim5
WFDC10A,Wfdc10
TAAR9,Taar9
FOXN2,Foxn2
BDNF,Bdnf
WNT8A,Wnt8a
HYOU1,Hyou1
DKK3,Dkk3
C13orf42,Gm4131
TOP3B,Top3b
FAM124A,Fam124a
OLR1,Olr1
WDR89,Wdr89
SLC26A1,Slc26a1
FAN1,Fan1
SLC9B1,Slc9b1
SOX14,Sox14
TAS2R39,Tas2r139
ATRX,Atrx
CARHSP1,Carhsp1
TAS2R40,Tas2r144
AL035460.1,Gm28372
TMEM239,Tmem239
CDH12,Cdh12
TMEM175,Tmem175
ASIC1,Asic1
LY6K,Ly6k
PMM2,Pmm2
METTL21A,Mettl21a
GLYR1,Glyr1
MEST,Mest
FBXO42,Fbxo42
ARHGEF10,Arhgef10
AGER,Ager
CCDC190,Ccdc190
YARS1,Yars
NAA30,Naa30
ZNF768,Zfp768
RAMP2,Ramp2
WFDC11,Wfdc11
MEOX2,Meox2
IFT122,Ift122
WFDC13,Wfdc13
TMC8,Tmc8
SPA17,Spa17
JUND,Jund
C20orf96,6820408C15Rik
CCNYL1,Ccnyl1
SPINT4,Spint4
CAPN7,Capn7
IQCN,Iqcn
IL20RB,Il20rb
TMEM186,Tmem186
SCO1,Sco1
CCDC198,ccdc198
NEK5,Nek5
CISD2,Cisd2
SLC35G1,Slc35g1
KRT16,Krt16
VPS25,Vps25
TBRG1,Tbrg1
PID1,Pid1
NCK1,Nck1
ABCC12,Abcc12
WFDC3,Wfdc3
TMEM52B,Tmem52b
COL17A1,Col17a1
GPR62,Gpr62
KIAA1522,C77080
SORL1,Sorl1
R3HDM4,R3hdm4
TMEM132D,Tmem132d
ERAS,Eras
LSR,Lsr
IPP,Ipp
GABARAPL1,Gabarapl1
FMO5,Fmo5
SLC35G2,Slc35g2
XDH,Xdh
PCSK1N,Pcsk1n
CD44,Cd44
SIAE,Siae
TNS2,Tns2
SMARCD1,Smarcd1
KISS1R,Kiss1r
SRGAP3,Srgap3
GSTK1,Gstk1
RRAS,Rras
VEZT,Vezt
COQ10B,Coq10b
DEFB129,Defb23
SH3BP5,Sh3bp5
FRRS1L,Frrs1l
JAG1,Jag1
FBXL14,Fbxl14
TRAPPC1,Trappc1
GPR151,Gpr151
WNT5B,Wnt5b
STX12,Stx12
TPR,Tpr
LCN8,Lcn8
DEFB128,Defb20
TMEM139,Tmem139
CRKL,Crkl
TEX43,Tex43
TINAGL1,Tinagl1
HSD17B7,Hsd17b7
DPPA3,Dppa3
UBE2L6,Ube2l6
CZIB,Czib
AIF1,Aif1
INSYN2B,Insyn2b
UTP4,Utp4
VWC2L,Vwc2l
SKI,Ski
ENDOD1,Endod1
HADHB,Hadhb
NOTCH1,Notch1
GPD1,Gpd1
DOCK2,Dock2
SLC26A11,Slc26a11
FZD5,Fzd5
TGM5,Tgm5
COPG2,Copg2
METTL11B,Mettl11b
MEAF6,Meaf6
CDC6,Cdc6
WNT11,Wnt11
COX14,Cox14
TRIM15,Trim15
GK2,Gk2
RPS6KA1,Rps6ka1
TAFA2,Tafa2
PELP1,Pelp1
LIMA1,Lima1
PRCC,Prcc
CELF3,Celf3
PPP1R21,Ppp1r21
REEP6,Reep6
UQCC2,Uqcc2
TRIM10,Trim10
CEPT1,Cept1
DLAT,Dlat
KDM4D,Kdm4d
HDGF,Hdgf
HMG20B,Hmg20b
PRKAB2,Prkab2
ZC3H12A,Zc3h12a
RNPC3,Rnpc3
RIN2,Rin2
CDK9,Cdk9
RPA3,Rpa3
AFM,Afm
TGM7,Tgm7
MINK1,Mink1
USF2,Usf2
ANP32E,Anp32e
IRX3,Irx3
ADAL,Adal
AEN,Aen
DARS2,Dars2
CTXND1,Gm2115
NFATC2,Nfatc2
FAAP20,Faap20
UBE2D3,Ube2d3
DENND2D,Dennd2d
SNTB2,Sntb2
EXOC3,Exoc3
CARTPT,Cartpt
SPRYD3,Spryd3
VWCE,Vwce
CERS5,Cers5
IP6K3,Ip6k3
TMEM69,Tmem69
TRIM40,Trim40
GLCCI1,Glcci1
CPLANE2,Cplane2
TECPR2,Tecpr2
EVL,Evl
SYTL2,Sytl2
G2E3,G2e3
FRYL,Fryl
TRIM31,Trim31
METTL16,Mettl16
ADAR,Adar
DNER,Dner
UGP2,Ugp2
LEMD2,Lemd2
CLCN7,Clcn7
LMAN2L,Lman2l
CHST8,Chst8
KIFAP3,Kifap3
NME5,Nme5
RRP9,Rrp9
LGSN,Lgsn
ODR4,Odr4
DRAM2,Dram2
TUBB,Tubb5
RIIAD1,Riiad1
SGPP1,Sgpp1
BTBD3,Btbd3
BEST1,Best1
OR5H2,Olfr186
SEL1L,Sel1l
SLC16A7,Slc16a7
LCMT2,Lcmt2
LRRN2,Lrrn2
UPF2,Upf2
ST3GAL4,St3gal4
PARP3,Parp3
BBS9,Bbs9
ZCCHC7,Zcchc7
NEK3,Nek3
FER1L5,Fer1l5
NEK10,Nek10
KCNJ13,Kcnj13
PGM2,Pgm2
PAN3,Pan3
WDR92,Wdr92
AKAP7,Akap7
PRR12,Prr12
STT3A,Stt3a
CABP2,Cabp2
THOC3,Thoc3
STAG1,Stag1
POU3F3,Pou3f3
FBXO8,Fbxo8
SLC35E1,Slc35e1
PNO1,Pno1
FKBP2,Fkbp2
C6orf118,1700010I14Rik
NTRK2,Ntrk2
NDRG4,Ndrg4
TMX1,Tmx1
DEFB125,Defb26
UBE2Z,Ube2z
PLA2R1,Pla2r1
RRS1,Rrs1
DEFB115,Defb28
SNX17,Snx17
ATP2B3,Atp2b3
DEFB116,Defb29
PIK3R6,Pik3r6
TBC1D7,Tbc1d7
SYCP1,Sycp1
ZFYVE27,Zfyve27
ARRDC1,Arrdc1
GRHL1,Grhl1
SRP72,Srp72
DEDD2,Dedd2
HSD17B12,Hsd17b12
PRKCZ,Prkcz
DDR2,Ddr2
DCPS,Dcps
CASP2,Casp2
PDF,Pdf
TBX5,Tbx5
MICAL2,Mical2
DEFB118,Defb21
LST1,Lst1
AC026464.6,Cog8
MPHOSPH10,Mphosph10
LTB,Ltb
ANTXR2,Antxr2
KCNAB3,Kcnab3
ZNF526,Zfp526
ERCC4,Ercc4
IGFBP6,Igfbp6
GRPEL2,Grpel2
OTOGL,Otogl
FAH,Fah
SC5D,Sc5d
SMTN,Smtn
PRG4,Prg4
PLEKHM3,Plekhm3
SOAT2,Soat2
DEGS2,Degs2
FKBP15,Fkbp15
PCDH10,Pcdh10
DRG2,Drg2
PLEKHO1,Plekho1
ANXA1,Anxa1
NCOA6,Ncoa6
TCEANC2,Tceanc2
DEFB123,Defb36
TUBE1,Tube1
FAM83F,Fam83f
EML1,Eml1
DEFB124,Defb25
RTN4R,Rtn4r
METTL17,Mettl17
SMIM7,Smim7
TTLL7,Ttll7
REM1,Rem1
IQCF1,Iqcf1
MCEE,Mcee
TNF,Tnf
KIAA1671,2900026A02Rik
KLRD1,Klrd1
PPP1R13L,Ppp1r13l
MDC1,Mdc1
AIPL1,Aipl1
NCAPG,Ncapg
ROPN1L,Ropn1l
CCN6,Ccn6
IQCF5,Iqcf5
SFRP5,Sfrp5
PRRG2,Prrg2
UAP1,Uap1
IQCF6,Iqcf6
KLRK1,Klrk1
COP1,Cop1
SERPINE3,Serpine3
GRM2,Grm2
INTS6,Ints6
MDM1,Mdm1
VEGFB,Vegfb
PRDM8,Prdm8
VWA3B,Vwa3b
CHRNB2,Chrnb2
PPP2R2B,Ppp2r2b
TMEM59,Tmem59
TEX264,Tex264
BBS5,Bbs5
KIF6,Kif6
RNF213,Rnf213
ZNF513,Zfp513
AHRR,Ahrr
SAR1A,Sar1a
HSPD1,Hspd1
C19orf38,AB124611
MEIS2,Meis2
SORBS3,Sorbs3
SPX,Spx
REXO5,Rexo5
EIF2B4,Eif2b4
NOSIP,Nosip
PLXDC2,Plxdc2
C17orf80,D11Wsu47e
CHRNA10,Chrna10
PEPD,Pepd
SRD5A2,Srd5a2
CFAP45,Cfap45
DNAJC4,Dnajc4
RHOT1,Rhot1
ART1,Art1
FGF5,Fgf5
FHL1,Fhl1
SPTLC3,Sptlc3
SFTPD,Sftpd
SLC9A3R1,Slc9a3r1
DNTTIP1,Dnttip1
IRX5,Irx5
OR2V2,Olfr1396
CHMP1B,Chmp1b
CCDC188,Ccdc188
GNAL,Gnal
ZMYND19,Zmynd19
ART5,Art5
RAD54L2,Rad54l2
DPP4,Dpp4
PTTG1IP,Pttg1ip
ADAMTSL5,Adamtsl5
MAPT,Mapt
UBN1,Ubn1
RO60,Ro60
ETS2,Ets2
VPS37C,Vps37c
ACSM3,Acsm3
CDC7,Cdc7
FZD10,Fzd10
LTA,Lta
PPP3CC,Ppp3cc
VSIG8,Vsig8
ADGRF3,Adgrf3
CRTAC1,Crtac1
MUC4,Muc4
SHLD1,Shld1
BARD1,Bard1
CENPF,Cenpf
RAB43,Rab43
PCCB,Pccb
CFAP299,Cfap299
TXLNB,Txlnb
MOCS2,Mocs2
LCN10,Lcn10
CPSF4L,Cpsf4l
SLC17A4,Slc17a4
DUSP9,Dusp9
OR2V1,Olfr56
SLC35F4,Slc35f4
SPDL1,Spdl1
PTPRF,Ptprf
SLC39A2,Slc39a2
NFKBIL1,Nfkbil1
DOCK3,Dock3
SIPA1L3,Sipa1l3
ATF7IP,Atf7ip
RNF39,Rnf39
RFTN1,Rftn1
ATP6V1G2-DDX39B,Atp6v1g2
RHO,Rho
MUC20,Muc20
KCNIP3,Kcnip3
LMNB1,Lmnb1
RRAGD,Rragd
GOLGA7B,Golga7b
GRIK3,Grik3
CHCHD6,Chchd6
AMER1,Amer1
CKAP2,Ckap2
GTF2A1L,Gtf2a1l
CHGB,Chgb
SMARCA1,Smarca1
PDE4DIP,Pde4dip
ASB12,Asb12
CEBPG,Cebpg
AKR1B1,Akr1b3
CD5,Cd5
ARHGEF19,Arhgef19
TMEFF2,Tmeff2
CCDC17,Ccdc17
ZFAT,Zfat
AFG1L,Afg1l
VPS45,Vps45
MEMO1,Memo1
SLC2A1,Slc2a1
RNF227,Rnf227
FSHR,Fshr
TMEM211,Tmem211
GSS,Gss
VXN,Vxn
GPBP1L1,Gpbp1l1
CEBPA,Cebpa
AGMO,Agmo
MAGT1,Magt1
ING1,Ing1
ZDHHC8,Zdhhc8
MYO1C,Myo1c
DPF3,Dpf3
VPS16,Vps16
C17orf99,6030468B19Rik
KBTBD11,Kbtbd11
HAND2,Hand2
TAF4B,Taf4b
MSL2,Msl2
MPPE1,Mppe1
MDH1,Mdh1
RYR1,Ryr1
TMEM104,Tmem104
SYNC,Sync
HAUS3,Haus3
IRX6,Irx6
TK1,Tk1
PPP2R3A,Ppp2r3a
WDFY2,Wdfy2
PIMREG,Pimreg
PIWIL1,Piwil1
SMTNL1,Smtnl1
RBBP4,Rbbp4
POLN,Poln
ST8SIA3,St8sia3
UBE2M,Ube2m
BMP3,Bmp3
ERI2,Eri2
DCAF1,Dcaf1
NAT9,Nat9
AFMID,Afmid
WDR83OS,Wdr83os
MRPL22,Mrpl22
UBE2C,Ube2c
RPS6KA5,Rps6ka5
APBA2,Apba2
FAM168A,Fam168a
ANKRD9,Ankrd9
KIAA1191,4833439L19Rik
WDPCP,Wdpcp
PABPC4,Pabpc4
GARNL3,Garnl3
GGT7,Ggt7
URM1,Urm1
TNNC2,Tnnc2
TECTA,Tecta
TNRC6B,Tnrc6b
SYNGR2,Syngr2
CDC42EP4,Cdc42ep4
SFR1,Sfr1
ATOH7,Atoh7
CALU,Calu
DEFB135,Defb30
NIP7,Nip7
FOXE1,Foxe1
SLC4A5,Slc4a5
WDR83,Wdr83
OGFOD1,Ogfod1
DEFB136,Defb42
VPS36,Vps36
RAB11B,Rab11b
PPP1R11,Ppp1r11
ACSS2,Acss2
PCED1A,Pced1a
ARL9,Arl9
PTPN14,Ptpn14
CERCAM,Cercam
THEGL,Thegl
PSMG1,Psmg1
EPHB1,Ephb1
PROSER2,Proser2
FOXJ2,Foxj2
NAA20,Naa20
TRMT6,Trmt6
MLANA,Mlana
RBM15B,Rbm15b
TBC1D1,Tbc1d1
BCL6,Bcl6
SIMC1,Simc1
PROM2,Prom2
MANF,Manf
TMEM38A,Tmem38a
CAPNS1,Capns1
THUMPD3,Thumpd3
CDK2AP2,Cdk2ap2
RGSL1,Rgsl1
ATP6V1G1,Atp6v1g1
CASP7,Casp7
PAIP2,Paip2
RPP14,Rpp14
LRRC3B,Lrrc3b
MYH3,Myh3
C1QC,C1qc
NARF,Narf
SPPL2A,Sppl2a
IRF1,Irf1
VGLL4,Vgll4
POLR1A,Polr1a
QKI,Qk
MARCHF3,Marchf3
TXNRD3,Txnrd3
OPN1SW,Opn1sw
GYS2,Gys2
ZNF740,Zfp740
COX7B,Cox7b
DDX39B,Ddx39b
ZC4H2,Zc4h2
MMP11,Mmp11
SOCS4,Socs4
HGS,Hgs
SLC39A14,Slc39a14
GSK3A,Gsk3a
ABCB6,Abcb6
EPB41L4B,Epb41l4b
P4HA2,P4ha2
CNNM4,Cnnm4
LARP4,Larp4
SRRM1,Srrm1
SLC23A1,Slc23a1
CAMK2B,Camk2b
UBE2Q1,Ube2q1
TRMT2A,Trmt2a
SLAMF8,Slamf8
